Date,Stocks,Bonds
2022-03-14,98.48999786376953,86.41600036621094
2022-03-15,98.75,86.66999816894531
2022-03-16,98.73999786376953,86.7020034790039
2022-03-17,98.9000015258789,85.66799926757812
2022-03-18,99.12000274658203,85.8499984741211
2022-03-21,99.12999725341797,85.96600341796875
2022-03-22,99.33000183105469,85.48999786376953
2022-03-23,99.41999816894531,85.5979995727539
2022-03-25,99.66000366210938,85.28399658203125
2022-03-28,99.66999816894531,85.63600158691406
2022-03-29,99.45999908447266,85.15599822998047
2022-03-30,99.25,85.1520004272461
2022-03-31,99.44999694824219,85.69400024414062
2022-04-01,99.62000274658203,85.97799682617188
2022-04-04,100.2699966430664,86.30599975585938
2022-04-05,100.1500015258789,86.06400299072266
2022-04-06,99.94999694824219,85.5260009765625
2022-04-07,99.8499984741211,85.59600067138672
2022-04-08,99.91999816894531,85.26000213623047
2022-04-11,99.51000213623047,84.60399627685547
2022-04-12,99.83999633789062,85.19200134277344
2022-04-13,99.87000274658203,85.00599670410156
2022-04-19,99.62999725341797,84.27200317382812
2022-04-20,99.72000122070312,84.12000274658203
2022-04-21,99.26000213623047,83.6719970703125
2022-04-22,98.8499984741211,83.75599670410156
2022-04-25,98.6500015258789,84.7979965209961
2022-04-26,98.52999877929688,85.15599822998047
2022-04-27,98.5999984741211,85.39199829101562
2022-04-28,98.45999908447266,85.00199890136719
2022-04-29,98.55999755859375,84.89600372314453
2022-05-02,98.30000305175781,85.08200073242188
2022-05-03,98.45999908447266,84.86599731445312
2022-05-04,98.16999816894531,84.26799774169922
2022-05-05,98.04000091552734,84.03800201416016
2022-05-06,97.20999908447266,83.62200164794922
2022-05-10,96.2699966430664,84.2300033569336
2022-05-11,96.37000274658203,84.21800231933594
2022-05-12,96.79000091552734,85.48200225830078
2022-05-16,97.1500015258789,85.2979965209961
2022-05-17,97.18000030517578,84.08399963378906
2022-05-18,97.41999816894531,84.2040023803711
2022-05-19,97.29000091552734,84.22200012207031
2022-05-20,97.26000213623047,84.27999877929688
2022-05-23,97.16999816894531,83.4800033569336
2022-05-24,97.4000015258789,83.74199676513672
2022-05-25,97.4800033569336,84.41999816894531
2022-05-30,97.54000091552734,84.0979995727539
2022-05-31,97.7300033569336,83.94999694824219
2022-06-01,97.80000305175781,84.08999633789062
2022-06-02,97.62999725341797,83.60399627685547
2022-06-03,97.37999725341797,83.39399719238281
2022-06-07,97.22000122070312,83.64399719238281
2022-06-08,96.80999755859375,83.27200317382812
2022-06-09,96.63999938964844,83.13999938964844
2022-06-10,96.55000305175781,82.96600341796875
2022-06-13,95.66999816894531,82.05400085449219
2022-06-14,95.22000122070312,81.9800033569336
2022-06-15,94.79000091552734,82.44599914550781
2022-06-16,93.62000274658203,81.88200378417969
2022-06-17,94.08000183105469,82.20800018310547
2022-06-20,94.30999755859375,81.80000305175781
2022-06-21,94.43000030517578,81.71800231933594
2022-06-22,94.45999908447266,81.73999786376953
2022-06-23,95.3499984741211,82.66600036621094
2022-06-24,95.5,82.46399688720703
2022-06-27,95.41000366210938,81.77799987792969
2022-06-28,95.4800033569336,81.62000274658203
2022-06-29,95.72000122070312,82.47799682617188
2022-06-30,95.44999694824219,82.97000122070312
2022-07-01,95.58999633789062,83.7959976196289
2022-07-04,95.38999938964844,83.7300033569336
2022-07-05,95.69000244140625,85.10600280761719
2022-07-06,95.69999694824219,85.27400207519531
2022-07-07,96.02999877929688,85.48799896240234
2022-07-08,96.26000213623047,85.06600189208984
2022-07-11,96.43000030517578,85.93800354003906
2022-07-13,96.0199966430664,85.9280014038086
2022-07-14,96.11000061035156,86.33000183105469
2022-07-15,96.11000061035156,86.47000122070312
2022-07-18,96.01000213623047,85.62000274658203
2022-07-19,96.05999755859375,85.197998046875
2022-07-20,96.27999877929688,85.50199890136719
2022-07-21,96.30999755859375,85.88200378417969
2022-07-22,96.30999755859375,86.69200134277344
2022-07-25,96.2699966430664,86.49199676513672
2022-07-26,96.68000030517578,86.95800018310547
2022-07-27,96.91999816894531,87.25
2022-07-28,97.22000122070312,87.86000061035156
2022-07-29,97.31999969482422,87.77799987792969
2022-08-01,97.19000244140625,87.61000061035156
2022-08-02,97.37000274658203,87.59200286865234
2022-08-03,97.5199966430664,87.5459976196289
2022-08-04,97.38999938964844,87.4000015258789
2022-08-05,97.47000122070312,87.03199768066406
2022-08-08,97.9000015258789,87.11399841308594
2022-08-09,97.72000122070312,86.80599975585938
2022-08-10,97.81999969482422,86.56999969482422
2022-08-11,97.9000015258789,86.06999969482422
2022-08-12,98.25,86.8479995727539
2022-08-15,98.41999816894531,87.64199829101562
2022-08-16,98.4800033569336,87.20999908447266
2022-08-17,98.23999786376953,86.65399932861328
2022-08-18,98.25,87.10199737548828
2022-08-19,97.9800033569336,86.75800323486328
2022-08-22,97.77999877929688,87.00800323486328
2022-08-23,97.91000366210938,86.95600128173828
2022-08-24,97.87000274658203,86.81600189208984
2022-08-25,97.72000122070312,87.12000274658203
2022-08-26,97.47000122070312,86.80799865722656
2022-08-29,97.16999816894531,86.0999984741211
2022-08-30,97.30000305175781,85.80400085449219
2022-08-31,96.9000015258789,85.5
2022-09-01,96.95999908447266,85.41400146484375
2022-09-02,96.8499984741211,85.36799621582031
2022-09-05,96.72000122070312,85.69400024414062
2022-09-06,96.41999816894531,85.28199768066406
2022-09-07,96.26000213623047,85.51200103759766
2022-09-08,96.0999984741211,85.24800109863281
2022-09-09,96.1500015258789,85.05999755859375
2022-09-12,96.38999938964844,84.70800018310547
2022-09-13,96.37000274658203,84.46199798583984
